NOMBRE INSTITUCIÓN,NOMBRE SEDE,NOMBRE CARRERA,T_2020,T_2021,T_2022,T_2023,T_2024,P_2020,P_2021,P_2022,P_2023,P_2024
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,CAMPUS SAN JOAQUIN,MATEMATICA/ESTADISTICA,73,45,24,11,3,0,0,0,0,0
IP AIEP,SEDE BELLAVISTA,INGENIERIA DE EJECUCION EN INFORMATICA MENCION ADMINISTRACION DE BASES DE DATOS,2,1,,,1,0,0,,,0
UNIVERSIDAD DE SANTIAGO DE CHILE,CASA CENTRAL (SANTIAGO),INGENIERIA ESTADISTICA,161,198,206,194,193,44,38,42,26,34
UNIVERSIDAD DEL BIO-BIO,CASA CENTRAL (CONCEPCION),INGENIERIA ESTADISTICA,74,64,51,49,50,10,13,7,11,10
IP PROVIDENCIA,SEDE VICUÑA MACKENNA (SANTIAGO VICUÑA MACKENNA 380),TECNICO DE NIVEL SUPERIOR EN CIENCIA DE DATOS,,,25,80,109,,,25,67,73
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,ESTADISTICA,44,33,22,11,8,0,0,0,0,0
CFT ESCUELA DE COMERCIO,CASA CENTRAL (SANTIAGO),ANALITICA DE DATOS,,10,11,16,8,,10,4,4,0
IP IPG,SEDE PROVIDENCIA,INGENIERIA EN CIENCIA DE DATOS,,,,,4,,,,,4
UNIVERSIDAD DE VALPARAISO,CASA CENTRAL (VALPARAISO),INGENIERIA EN ESTADISTICA,89,67,36,16,5,15,0,0,0,0
IP AIEP,SEDE BARRIO UNIVERSITARIO,INGENIERIA DE EJECUCION EN INFORMATICA MENCION ADMINISTRACION DE BASES DE DATOS,8,4,2,,,0,0,0,,
UNIVERSIDAD DE CONCEPCION,CASA CENTRAL,INGENIERIA ESTADISTICA,101,106,110,95,98,23,18,16,20,30
UNIVERSIDAD DE ANTOFAGASTA,SEDE CAMPUS COLOSO,INGENIERIA EN ESTADISTICA,,,,,,,,,,
IP ESCUELA DE COMERCIO DE SANTIAGO,CASA CENTRAL (SANTIAGO),INGENIERIA EN CIENCIAS DE DATOS,,,6,4,65,,,6,2,61
UNIVERSIDAD ALBERTO HURTADO,CASA CENTRAL (SANTIAGO),INGENIERIA EN CONTROL DE GESTION MENCION CIENCIA DE DATOS PLAN A,,14,16,21,17,,0,0,0,0
